Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
1954,35.39391300,3926.94090000,432
1957,35.41754600,12707.68300000,435
1959,35.43330100,24183.77600000,437
1965,35.48056600,13986.99000000,443
1970,35.51995400,7186.72630000,448
1972,35.53570900,10203.49600000,450
1977,35.57509700,9960.12800000,455
1981,35.60660700,5282.67800000,459
1985,35.63811800,13105.05400000,463
1991,35.68538300,15620.16700000,469
1998,35.74052600,4575.45810000,476
2005,35.79566900,3869.84790000,483
2008,35.81930200,5821.59630000,486
2017,35.89020000,3858.84780000,495
2021,35.92171000,5589.53380000,499
2023,35.93746500,8272.36540000,501
2025,35.95322000,25187.23000000,503
2030,35.99260800,11627.38800000,508
2033,36.01624100,18399.69200000,511
2035,36.03199600,76243.80600000,513
2037,36.04775100,6050.40790000,515
2039,36.06350600,7027.68100000,517
2041,36.07926100,12841.50600000,519
2043,36.09501600,42670.56900000,521
2046,36.11864900,33443.22100000,524
2049,36.14228200,10726.82700000,527
2053,36.17379200,10897.73300000,531
2056,36.19742500,4873.30110000,534
2060,36.22893500,29056.17700000,538
2063,36.25256800,8718.02200000,541
2065,36.26832300,8588.39510000,543
2072,36.32346600,4374.54950000,550
2081,36.39436400,5226.69080000,559
2274,37.91473500,4868.62250000,752
2282,37.97775500,5186.26800000,760
2290,38.04077600,4362.83220000,768
2293,38.06440800,4770.13040000,771
2299,38.11167400,9085.40850000,777
2305,38.15893900,7271.35180000,783
2309,38.19045000,7290.35120000,787
2311,38.20620500,10472.28300000,789
2316,38.24559300,6900.33850000,794
2319,38.26922500,4509.47620000,797
2324,38.30861300,8904.20360000,802
2326,38.32436800,8613.82010000,804
2328,38.34012300,7380.12560000,806
2330,38.35587800,3942.96150000,808
2333,38.37951100,13499.81100000,811
2335,38.39526600,12668.64800000,813
2339,38.42677700,11384.62800000,817
2344,38.46616400,21340.38800000,822
2348,38.49767500,12661.69000000,826
2363,38.61583800,5228.46040000,841
2365,38.63159300,3964.89380000,843
2369,38.66310400,11090.11100000,847
2376,38.71824700,4743.43460000,854
2383,38.77339000,4207.85290000,861
2396,38.87579800,4288.92860000,874
2399,38.89943100,4626.76160000,877
2408,38.97032900,4082.96300000,886
2442,39.23816600,5994.42080000,920
2453,39.32481900,3886.91250000,931
2456,39.34845200,5592.58290000,934
2469,39.45086000,3770.81420000,947
2489,39.60841200,8245.00280000,967
2497,39.67143200,12340.33100000,975
2503,39.71869800,7079.94660000,981
2506,39.74233000,14266.26600000,984
2513,39.79747300,7175.89950000,991
2518,39.83686100,8109.94030000,996
2529,39.92351400,4020.48090000,1007
2537,39.98653500,4829.19590000,1015
2542,40.02592300,6125.12950000,1020
2544,40.04167800,5867.87580000,1022
2546,40.05743300,5846.79000000,1024
2553,40.11257600,5242.64740000,1031
2555,40.12833100,5795.39340000,1033
2562,40.18347400,4147.23160000,1040
2568,40.23074000,4519.88920000,1046
2571,40.25437200,16687.35200000,1049
2573,40.27012700,8147.35800000,1051
2577,40.30163800,4015.65740000,1055
2583,40.34890300,12218.81300000,1061
2588,40.38829100,9648.13380000,1066
2592,40.41980100,8774.73180000,1070
2594,40.43555600,4040.42240000,1072
2616,40.60886300,4205.45620000,1094
2634,40.75065900,3765.56290000,1112
2831,42.30254000,5085.86580000,1309
2837,42.34980500,4097.94810000,1315
2839,42.36556100,5205.03240000,1317
2844,42.40494800,4016.05810000,1322
2849,42.44433600,5321.31740000,1327
2851,42.46009100,5892.13260000,1329
2855,42.49160200,3942.06300000,1333
2864,42.56250000,6117.74190000,1342
2867,42.58613200,4375.31840000,1345
2896,42.81458200,8244.58880000,1374
2902,42.86184700,3966.93530000,1380
2926,43.05090900,5273.04960000,1404
3026,43.83866600,3901.31700000,1504
3046,43.99621700,4349.67370000,1524
3063,44.13013600,4034.09030000,1541
3065,44.14589100,8187.31630000,1543
3068,44.16952400,3885.92670000,1546
3078,44.24829900,8053.12660000,1556
3112,44.51613700,4248.43040000,1590
3399,46.77699900,4120.96000000,1877
