Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
14884,167.25652000,1774.00390000,1919
14887,167.28016000,1095.52580000,1916
15025,168.36726000,499.28730000,1778
15027,168.38302000,535.73332000,1776
15049,168.55632000,440.66857000,1754
15052,168.57995000,495.00956000,1751
15054,168.59571000,1442.87200000,1749
15058,168.62722000,1395.83320000,1745
15061,168.65085000,1915.35790000,1742
15066,168.69024000,1784.19260000,1737
15068,168.70600000,974.81951000,1735
15070,168.72175000,660.61950000,1733
15073,168.74538000,1308.29510000,1730
15075,168.76114000,3172.10310000,1728
15077,168.77689000,1048.26880000,1726
15080,168.80053000,841.72172000,1723
15082,168.81628000,506.28007000,1721
15084,168.83204000,1555.80980000,1719
15088,168.86355000,971.64848000,1715
15092,168.89506000,401.79063000,1711
15107,169.01322000,449.30643000,1696
15338,170.83294000,881.46721000,1465
15592,172.83384000,533.77495000,1211
15596,172.86535000,481.31735000,1207
15625,173.09380000,486.17592000,1178
15646,173.25923000,406.52744000,1157
15649,173.28286000,674.08161000,1154
15651,173.29862000,891.14263000,1152
15858,174.92927000,1041.07540000,945
15861,174.95291000,1654.95740000,942
15863,174.96866000,1405.82200000,940
15865,174.98442000,1635.51060000,938
15869,175.01593000,1486.29140000,934
15874,175.05532000,449.93045000,929
15878,175.08683000,581.65187000,925
15881,175.11046000,581.93682000,922
15896,175.22862000,937.73551000,907
15900,175.26013000,1240.44940000,903
15904,175.29164000,1576.85930000,899
16017,176.18181000,573.86106000,786
16019,176.19756000,404.94750000,784
16022,176.22120000,652.47794000,781
16030,176.28422000,2296.35890000,773
16032,176.29997000,2484.44730000,771
16037,176.33936000,531.84388000,766
16040,176.36299000,708.39630000,763
16044,176.39450000,603.02666000,759
16052,176.45752000,456.51753000,751
16069,176.59144000,1093.42620000,734
16072,176.61507000,1326.95470000,731
16074,176.63083000,1053.22290000,729
16076,176.64658000,3864.33340000,727
16381,179.04924000,927.16505000,422
16552,180.39631000,463.04122000,251
16575,180.57749000,1349.42590000,228
16580,180.61688000,766.14588000,223
16584,180.64839000,1555.05160000,219
16586,180.66414000,1415.33160000,217
16589,180.68778000,640.73000000,214
16592,180.71141000,1542.98110000,211
16596,180.74292000,426.01925000,207
16598,180.75867000,451.20802000,205
16601,180.78231000,455.82962000,202
16614,180.88472000,695.93234000,189
16623,180.95561000,574.25523000,180
16625,180.97137000,546.64855000,178
16628,180.99500000,2285.54000000,175
16630,181.01076000,646.12146000,173
16633,181.03439000,1038.66750000,170
16635,181.05014000,731.27114000,168
16641,181.09741000,410.75087000,162
16667,181.30223000,605.55784000,136
16787,182.24754000,401.57656000,16
16792,182.28692000,1361.29500000,11
16794,182.30268000,1391.93740000,9
16798,182.33419000,1283.37830000,5
16801,182.35782000,1642.16360000,2
16803,182.37358000,5024.79240000,0
16808,182.41296000,4676.86500000,5
16810,182.42872000,1362.20620000,7
16814,182.46023000,2828.77420000,11
16818,182.49174000,1272.34140000,15
16821,182.51537000,964.68428000,18
16823,182.53113000,844.62812000,20
16825,182.54688000,403.25610000,22
16828,182.57052000,938.31339000,25
16831,182.59415000,407.33034000,28
16833,182.60990000,870.50813000,30
17090,184.63444000,1170.02400000,287
17390,186.99771000,478.67665000,587
17392,187.01346000,913.42745000,589
17394,187.02922000,1544.21140000,591
17397,187.05285000,450.23871000,594
17440,187.39159000,442.90911000,637
17445,187.43097000,1573.00420000,642
17448,187.45461000,429.73471000,645
17450,187.47036000,465.43191000,647
17637,188.94347000,474.23791000,834
17640,188.96710000,1392.83820000,837
17643,188.99073000,552.65279000,840
17647,189.02224000,2479.85320000,844
17649,189.03800000,3737.42640000,846
17651,189.05375000,1766.60100000,848
17653,189.06951000,4744.64500000,850
17655,189.08526000,4397.93290000,852
17658,189.10890000,805.94028000,855
17663,189.14828000,684.02036000,860
17665,189.16404000,416.74161000,862
17669,189.19555000,1680.78320000,866
17672,189.21918000,2914.70800000,869
17677,189.25857000,2285.98600000,874
17681,189.29008000,1542.53820000,878
17686,189.32947000,505.31946000,883
17688,189.34522000,630.47693000,885
17867,190.75531000,585.25440000,1064
17872,190.79470000,645.60633000,1069
17884,190.88923000,404.67768000,1081
17919,191.16494000,1689.30630000,1116
17922,191.18857000,755.75082000,1119
18247,193.74878000,658.91109000,1444
18294,194.11903000,615.18060000,1491
18315,194.28446000,530.95543000,1512
18320,194.32385000,857.21435000,1517
18322,194.33960000,1568.06350000,1519
18325,194.36323000,905.48442000,1522
18331,194.41050000,411.23133000,1528
18334,194.43413000,1566.92890000,1531
18341,194.48928000,2712.97070000,1538
18344,194.51291000,1280.37900000,1541
18346,194.52866000,892.46131000,1543
18353,194.58381000,1192.70010000,1550
18355,194.59956000,489.01829000,1552
18358,194.62319000,825.93717000,1555
18360,194.63895000,793.29939000,1557
18416,195.08009000,474.55310000,1613
