Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
5339,143.03085000,962.79969000,2530
5367,143.25649000,706.06318000,2558
5747,146.31873000,1706.13010000,2938
5900,147.55169000,863.83659000,3091
5912,147.64839000,766.77056000,3103
5916,147.68062000,1381.99170000,3107
5918,147.69674000,896.85174000,3109
5920,147.71286000,883.11583000,3111
5925,147.75315000,671.62985000,3116
5930,147.79344000,664.08864000,3121
6019,148.51065000,1070.87560000,3210
6021,148.52677000,1103.21830000,3212
