Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
22026,223.51811000,658.38908000,2291
22028,223.53387000,1840.77920000,2289
22031,223.55750000,523.35106000,2286
22033,223.57326000,2211.78790000,2284
22036,223.59689000,1112.20890000,2281
22040,223.62840000,340.11279000,2277
22046,223.67567000,675.06557000,2271
22053,223.73081000,354.84360000,2264
22055,223.74656000,287.83160000,2262
22479,227.08665000,375.55006000,1838
22482,227.11028000,463.05457000,1835
22713,228.93000000,540.14026000,1604
22717,228.96151000,486.70614000,1600
22727,229.04029000,512.97686000,1590
22732,229.07968000,449.08877000,1585
22734,229.09543000,384.29062000,1583
22738,229.12694000,505.74355000,1579
22745,229.18209000,372.59188000,1572
22748,229.20572000,469.62137000,1569
22751,229.22935000,349.85401000,1566
22753,229.24511000,323.27936000,1564
22770,229.37902000,321.34309000,1547
22979,231.02544000,235.31237000,1338
22982,231.04907000,320.61432000,1335
22986,231.08058000,322.80284000,1331
22989,231.10421000,612.37547000,1328
22991,231.11997000,497.52010000,1326
22994,231.14360000,1717.01770000,1323
22999,231.18299000,2112.18370000,1318
23002,231.20662000,2953.71540000,1315
23004,231.22238000,1627.71200000,1313
23007,231.24601000,581.02828000,1310
23010,231.26964000,275.82788000,1307
23016,231.31691000,400.41892000,1301
23018,231.33266000,670.88780000,1299
23020,231.34842000,275.24917000,1297
23023,231.37205000,271.25649000,1294
23559,235.59443000,276.85310000,758
23582,235.77561000,365.42209000,735
23585,235.79924000,328.50737000,732
23613,236.01981000,267.81492000,704
24007,239.12358000,309.77473000,310
24009,239.13933000,296.00852000,308
24012,239.16296000,417.94250000,305
24016,239.19447000,483.65021000,301
24021,239.23386000,686.79056000,296
24024,239.25749000,812.82888000,293
24027,239.28113000,516.69725000,290
24030,239.30476000,2701.23120000,287
24034,239.33627000,4350.42310000,283
24037,239.35990000,2288.38450000,280
24040,239.38354000,1971.05620000,277
24046,239.43080000,2171.49530000,271
24049,239.45443000,662.99232000,268
24051,239.47019000,345.11826000,266
24053,239.48594000,625.44985000,264
24056,239.50958000,562.03462000,261
24086,239.74590000,255.30458000,231
24289,241.34505000,246.45675000,28
24293,241.37656000,702.40422000,24
24296,241.40019000,458.41181000,21
24305,241.47109000,462.27042000,12
24307,241.48685000,318.21716000,10
24309,241.50260000,503.04371000,8
24311,241.51836000,704.81072000,6
24313,241.53411000,432.52292000,4
24317,241.56562000,4453.71510000,0
24320,241.58925000,1055.63340000,3
24324,241.62076000,261.38581000,7
24329,241.66015000,245.24102000,12
24338,241.73105000,575.40656000,21
24341,241.75468000,868.23366000,24
24343,241.77044000,354.74253000,26
24347,241.80195000,342.37465000,30
24364,241.93587000,239.78395000,47
24551,243.40897000,262.83723000,234
24808,245.43351000,237.47358000,491
24885,246.04008000,505.26761000,568
24889,246.07159000,507.26905000,572
24895,246.11886000,342.87093000,578
24900,246.15824000,288.45483000,583
24912,246.25277000,519.23119000,595
24914,246.26853000,753.85647000,597
24917,246.29216000,373.65254000,600
24922,246.33155000,629.61039000,605
24929,246.38669000,406.92175000,612
24933,246.41820000,244.08010000,616
24935,246.43396000,361.16822000,618
24942,246.48910000,1373.26740000,625
24945,246.51273000,888.04092000,628
24949,246.54424000,510.34113000,632
24953,246.57576000,651.28216000,636
24955,246.59151000,667.68935000,638
24958,246.61514000,1083.91010000,641
24961,246.63878000,1055.97530000,644
24963,246.65453000,1320.95300000,646
24968,246.69392000,292.04102000,651
24971,246.71755000,320.99528000,654
24974,246.74118000,256.82323000,657
24978,246.77269000,249.48551000,661
24982,246.80420000,380.19444000,665
24986,246.83571000,255.84991000,669
24988,246.85147000,538.63219000,671
24996,246.91449000,383.99207000,679
25120,247.89131000,354.41807000,803
25132,247.98584000,305.27981000,815
25135,248.00947000,264.27310000,818
25149,248.11976000,235.95025000,832
25154,248.15915000,373.02328000,837
25159,248.19853000,466.82537000,842
25165,248.24580000,371.27939000,848
25167,248.26155000,485.97499000,850
25169,248.27731000,854.41824000,852
25172,248.30094000,1991.55260000,855
25174,248.31670000,1176.18580000,857
25177,248.34033000,3368.93050000,860
25180,248.36396000,605.06504000,863
25182,248.37972000,902.07746000,865
25185,248.40335000,417.31365000,868
25190,248.44274000,709.72124000,873
25193,248.46637000,263.68703000,876
25197,248.49788000,492.59052000,880
25200,248.52151000,377.87127000,883
25207,248.57666000,257.62564000,890
25209,248.59241000,265.45823000,892
25220,248.67907000,543.06029000,903
25515,251.00295000,551.68547000,1198
25520,251.04234000,1704.85070000,1203
25523,251.06597000,630.42467000,1206
26088,255.51679000,541.50441000,1771
26093,255.55618000,340.87400000,1776
26099,255.60345000,292.40401000,1782
26102,255.62708000,430.56116000,1785
26109,255.68222000,456.17186000,1792
26112,255.70586000,650.17669000,1795
26115,255.72949000,898.99869000,1798
26119,255.76100000,1016.20850000,1802
26131,255.85553000,363.07761000,1814
26135,255.88704000,1916.63470000,1818
26140,255.92643000,265.06713000,1823
26142,255.94218000,270.41103000,1825
26384,257.84855000,720.74979000,2067
26387,257.87219000,489.83407000,2070
26398,257.95884000,1362.75890000,2081
26400,257.97460000,1541.89620000,2083
26403,257.99823000,1330.29350000,2086
26408,258.03762000,2460.10370000,2091
26411,258.06125000,705.29337000,2094
26415,258.09276000,302.64970000,2098
26419,258.12427000,535.24729000,2102
26421,258.14002000,937.67527000,2104
26424,258.16366000,362.60859000,2107
26426,258.17941000,259.57634000,2109
26428,258.19517000,466.93016000,2111
26451,258.37635000,273.97634000,2134
26456,258.41574000,315.51201000,2139
26461,258.45513000,268.18983000,2144
26923,262.09456000,245.72826000,2606
27106,263.53616000,246.97601000,2789
27121,263.65432000,811.98314000,2804
27126,263.69371000,308.71143000,2809
27129,263.71734000,291.95729000,2812
27132,263.74098000,302.07425000,2815
27135,263.76461000,1124.33570000,2818
27144,263.83551000,299.25407000,2827
27146,263.85126000,268.04416000,2829
27152,263.89853000,1342.78260000,2835
